id,Brand Name,price,Discription,Warranty,instalment,Discount,Seller Name
143357,TCL,"Rs. 43,990",TCL D3000 40  Full HD LED TV - Black, not avalible ,"Up to 36 months, as low as Rs. 2,015 per month.",0,TCL
143400,Hisense,"Rs. 29,990",Hisense 32A25 32 HD ready LED TV - Black, not avalible ,"Up to 36 months, as low as Rs. 1,374 per month.",0,Hisense
143402,TCL,"Rs. 40,999","TCL 32"" Android LED HD Ready TV - 32S5200",7 Days ReturnsChange of mind is not applicable,"Up to 36 months, as low as Rs. 1,878 per month.",-18%,AAA Electronics
